ticker,exchange,avg_price_volatility_5d,avg_price_volatility_20d,max_price_volatility_5d,avg_price_momentum_5d,avg_price_momentum_20d,avg_volume_ratio,max_volume_ratio,avg_volume_volatility,volume_trend,avg_pv_correlation,min_pv_correlation,avg_hl_spread,max_hl_spread,avg_hl_spread_ratio,avg_rsi,min_rsi,max_rsi,total_return_6m,max_drawdown_6m,sharpe_ratio_6m,data_points,missing_data_pct,anomaly_score,is_anomaly,anomaly_probability
LM8.AX,ASX,0.10078276211665564,0.1090862143377746,0.40584928743451476,-0.012189296787834958,-0.13147317634501282,1.0671093748284077,6.633122403749261,596467.2015441555,2.3451186618912465,0.16541810938194648,-0.7555923846628958,0.14510340894494297,0.5084746190783161,1.0182527965289867,41.42512378022233,4.587151699019515,84.52381450775886,-0.6526315607852881,-0.8557692197476614,-0.015750596742656782,120,0.0,0.09179799709301467,False,0.0545895893512206
JPI,NYQ,0.014660776002030591,0.018054370945056124,0.05249270422642701,0.01607556165465335,0.05388483696915607,0.9564219046628151,5.80751720822428,91337.39603682872,0.3248752068012887,-0.0546191428198223,-0.6647018449235728,0.02385716501005144,0.12668039484286053,0.97632337957766,63.761296967676635,30.788887828769518,91.87377426950626,0.43017764015842186,-0.11989161566861364,0.16630822095726328,120,0.0,0.09180123420707431,False,0.05458229083744104
WST,NYQ,0.04465310415625532,0.048620742404972425,0.1639333692268839,-0.006817196380162777,-0.03818736366369184,1.0356232884086312,3.758682663816972,1199509.2467774483,1.7815145422943222,0.030857595983662587,-0.939444494068335,0.07090941090795107,0.5969823510956975,0.9997392719126873,47.607927534987056,17.657927095098927,80.46907376011278,-0.25126153829166575,-0.5059055015013182,-0.013524237772326829,120,0.0,0.09180852129891504,False,0.05456586109810124
GPRO,NMS,0.09155342809727968,0.08707407903484052,0.36490421092742326,0.0010249730149100799,-0.06711503086560923,1.1840159779851331,9.281841949605587,12766976.779852442,7.941962040946447,0.06764873693873456,-0.7234003271230742,0.14732372828530085,0.9682118559086519,1.058504907253031,38.40346098749315,7.849287247177315,83.65253212943358,-0.5217391104038154,-0.8835680832759114,-0.00010817803931654025,120,0.0,0.09184039466453503,False,0.05449399826166923
NST.AX,ASX,0.05237450149559581,0.0528216227661474,0.11147965288596022,0.0335433061022027,0.09845593456493522,1.053418815408137,2.5851379753096047,6464584.3607992735,1.7845881445564973,0.09160083924978232,-0.7686392546841435,0.06922284142201969,0.19439251969939117,1.0006859735955038,55.74348047934586,29.620251820504237,82.24731130569646,1.1356443248459858,-0.32090551076890605,0.1456040394563765,120,0.0,0.09184938812295629,False,0.05447372128686867
SHO.AX,ASX,0.14545316215655077,0.1572006228559117,0.5434457994831129,0.08724402351641074,0.5122987380974688,1.0509966455561828,6.1282694659929895,2455251.1799215325,2.153921595450894,0.2222357789519486,-0.8129065009176457,0.1816351084608972,0.6666666149265241,0.9968215005351246,51.91945063272754,6.666664597060972,86.36363434320519,0.5833332686581552,-0.8965517202620343,0.09354641588004013,120,0.0,0.09185086474047255,False,0.05447039205191084
CDNS,NMS,0.04605647005616889,0.04697719954102248,0.0897657652277952,0.02252997307186848,0.08995896290511549,0.9957188574923673,2.1343712673692705,2933823.5126337814,1.0647290039795654,-0.0597592739112346,-0.8256023372941029,0.06608801087724216,0.1737773003652065,0.9956307955306052,55.673787167376226,23.32215763835987,78.98459180313807,0.5410970129018435,-0.27842841937965557,0.09118263824602549,120,0.0,0.09185322523344358,False,0.0544650699995648
L1M.AX,ASX,0.09711364145955022,0.10289635008016594,0.26742611984210396,-0.033473069576478366,-0.16212694711651934,1.2017386348365955,10.336094149589783,1007230.6391150919,5.0745980390503895,0.12300458217485935,-0.8275416370868925,0.11742033160612898,0.42000009983777853,1.016965685477313,42.2193576092812,11.92660261992495,73.01587630096161,-0.688235301078397,-0.8052631529414422,-0.033092865188056896,120,0.0,0.09185523548251351,False,0.054460537619714366
FZR.AX,ASX,0.0720559630624567,0.07809718592651198,0.20934072578317178,0.015167808354138824,0.04673509460206347,0.9651444317943109,7.107839797858439,81972.54452002101,0.8411859993520441,-0.07439343510800557,-0.9197027801292319,0.051515021760778934,0.3913042914889946,0.9621299356455,51.622221208761545,6.66668035365349,85.4447335314221,0.08060994066085225,-0.37142859936120853,0.04620525367931545,120,0.0,0.09185996368394234,False,0.05444987724672623
SEC.AX,ASX,0.023048759061592573,0.023191077666467264,0.05464285915233327,0.02109012737077021,0.07372201750701428,0.976495100940951,4.11533440407009,155022.24630483266,0.7625962843366493,-0.044718791114256334,-0.6363660444038759,0.044505116438026564,0.10454546094925934,0.9917266836839997,59.642332541691516,33.68842273977316,93.05647192073808,0.6082868572638591,-0.08829288657519574,0.1792754170746357,120,0.0,0.0918680630009106,False,0.05443161623540271
CLX,NYQ,0.027077753982553153,0.02887863760322919,0.050764483541359505,-0.004741790220492825,-0.017356483076628307,1.038635665499468,2.5663325368202043,2195846.3584284997,1.6837925434210619,0.1344064758329049,-0.7973420096126589,0.04498101531067118,0.11090789007159012,1.0036098846645711,46.99381550545932,15.130648274474552,90.62666765067604,-0.1546647047136568,-0.2847104870476372,-0.03200516546841573,120,0.0,0.09186907795780558,False,0.0544293278770851
AEF,ASE,0.02430431576436012,0.025374789983060465,0.04605624545470876,0.01804923647532306,0.06242446392905998,1.1379726340181684,3.1469089483704784,247551.94108142555,2.3189079791585927,0.024217965760447206,-0.7092963762859686,0.03510723565515816,0.09482760126752368,0.9947690959356975,58.49389392590967,26.00458360429603,91.45465464716497,0.47271794124060085,-0.17254015845961965,0.14848606682303606,120,0.0,0.09188056485944568,False,0.0544034290955282
GHRS,NGM,0.09457732166718742,0.0986266036553052,0.21126844450734925,0.026890334505040067,0.15110921579869457,1.125101753134648,14.797268542558966,779426.7878109348,3.463252897489271,0.07030821113732004,-0.7325840963798209,0.18125325341812146,0.609729732479061,0.9956261989851546,52.47779321014888,18.70575876609,89.28112911122084,0.06110412098233042,-0.6183368868490817,0.052941339313251574,120,0.0,0.09188594498457425,False,0.054391298871920624
ADD.AX,ASX,0.17760292954730245,0.19815666693367576,0.5477225575051659,-0.06982636375114921,-0.3101750434705592,1.1740737821986411,7.511419987858564,920994.3372681544,5.281055211378529,0.014395243902765172,-0.735652860343091,0.27777410475861086,1.0,0.9872001523585392,39.61065061712056,0.0,75.60975964334614,-0.9234358926611237,-0.9626516568230697,-0.00928330289124208,120,0.0014492753623188406,0.09189570568945787,False,0.05436929203565244
